,0
0,344
1,482
2,1218
3,456
4,196
5,442
6,196
7,514
8,50
9,527
10,500
11,16
12,1408
13,264
14,727
15,608
16,344
17,482
18,2997
19,44
20,608
21,44
22,211
23,659
24,44
25,211
26,3448
27,674
28,682
29,44
30,196
31,674
32,196
33,44
34,442
35,196
36,196
37,1463
38,702
39,211
40,221
41,196
42,1553
43,482
44,211
45,497
46,1336
47,608
48,1754
49,2395
50,173
51,3734
52,3023
53,3791
54,1254
55,733
56,1246
57,608
58,44
59,3236
60,927
61,1623
62,135
63,211
64,1225
65,2280
66,2289
67,337
68,3289
69,3416
70,1232
71,2692
72,3357
73,634
74,211
75,389
76,3431
77,736
78,750
79,367
80,593
81,211
82,3261
83,44
84,389
85,196
86,2470
87,14
88,599
89,389
90,1376
91,1127
92,786
93,634
94,44
95,16
96,34
97,239
98,750
99,3255
100,211
101,3753
102,211
103,2290
104,483
105,484
106,391
107,680
108,682
109,381
110,83
111,196
112,211
113,1196
114,173
115,44
116,671
117,196
118,2445
119,1235
120,1232
121,2042
122,111
123,954
124,2596
125,722
126,608
127,2112
128,50
129,211
130,1019
131,2508
132,211
133,2528
134,195
135,211
136,344
137,3288
138,608
139,211
140,3442
141,482
142,211
143,738
144,497
145,47
146,599
147,196
148,44
149,2684
150,44
151,2589
152,44
153,1376
154,196
155,671
156,384
157,211
158,211
159,2797
160,211
161,211
162,2079
163,608
164,44
165,2493
166,211
167,344
168,770
169,196
170,2099
171,3126
172,3267
173,482
174,0
175,3024
176,158
177,211
178,253
179,1021
180,3661
181,608
182,482
183,2995
184,173
185,47
186,2061
187,2470
188,211
189,790
190,1903
191,211
192,322
193,366
194,44
195,42
196,344
197,47
198,211
199,608
200,2933
201,1639
202,44
203,202
204,482
205,3354
206,111
207,44
208,608
209,608
210,110
211,482
212,541
213,2621
214,196
215,2191
216,2432
217,1240
218,1242
219,184
220,608
221,3754
222,608
223,3335
224,1232
225,3003
226,211
227,608
228,1376
229,918
230,1424
231,1650
232,196
233,444
234,1354
235,442
236,211
237,211
238,211
239,344
240,211
241,778
242,3328
243,1845
244,377
245,2167
246,44
247,344
248,211
249,44
250,2021
251,3582
252,211
253,634
254,1765
255,1695
256,497
257,211
258,527
259,682
260,378
261,2898
262,674
263,1369
264,173
265,344
266,4
267,3066
268,196
269,3626
270,344
271,1997
272,595
273,44
274,211
275,2351
276,196
277,608
278,44
279,196
280,2214
281,500
282,482
283,1232
284,1191
285,211
286,1225
287,344
288,355
289,608
290,83
291,910
292,211
293,912
294,656
295,211
296,3632
297,2586
298,482
299,2566
300,378
301,533
302,2827
303,3087
304,1232
305,1732
306,3756
307,3768
308,322
309,381
310,3754
311,2478
312,196
313,3091
314,111
315,3735
316,381
317,767
318,3760
319,196
320,2664
321,1699
322,381
323,211
324,2202
325,937
326,2268
327,1093
328,111
329,48
330,16
331,44
332,1084
333,1749
334,344
335,381
336,278
337,196
338,107
339,111
340,16
341,608
342,135
343,608
344,211
345,44
346,633
347,211
348,211
349,1232
350,482
351,760
352,500
353,658
354,378
355,173
356,344
357,196
358,1232
359,2343
360,1705
361,1983
362,3255
363,608
364,482
365,431
366,682
367,430
368,3724
369,710
370,44
371,1240
372,213
373,482
374,211
375,196
376,211
377,3276
378,1077
379,111
380,1196
381,2563
382,527
383,44
384,381
385,173
386,2900
387,2346
388,2074
389,196
390,462
391,196
392,3730
393,16
394,1374
395,211
396,344
397,134
398,1697
399,389
400,3754
401,173
402,2435
403,1070
404,44
405,1766
406,50
407,922
408,1499
409,1027
410,189
411,809
412,660
413,608
414,858
415,659
416,541
417,2788
418,2720
419,3565
420,899
421,3134
422,853
423,608
424,257
425,1323
426,1978
427,1061
428,999
429,632
430,600
431,389
432,482
433,608
434,505
435,716
436,653
437,2305
438,3554
439,444
440,676
441,53
442,211
443,1254
444,173
445,741
446,1876
