,movieID,recomendation,movie name,recomendation name,num_reviews,avg_review
0,1,3114,Toy Story (1995),Toy Story 2 (1999),57309,3.893707794587238
1,2,2005,Jumanji (1995),"Goonies, The (1985)",24228,3.2515271586594023
2,3,2794,Grumpier Old Men (1995),European Vacation (aka National Lampoon's European Vacation) (1985),11804,3.142028126058963
3,4,58,Waiting to Exhale (1995),"Postman, The (Postino, Il) (1994)",2523,2.85354736424891
4,5,339,Father of the Bride Part II (1995),While You Were Sleeping (1995),11714,3.0584343520573674
5,6,858,Heat (1995),"Godfather, The (1972)",24588,3.854908898649748
6,7,2424,Sabrina (1995),You've Got Mail (1998),12132,3.3636663369601054
7,9,26776,Sudden Death (1995),Porco Rosso (Crimson Pig) (Kurenai no buta) (1992),3711,2.992050660199407
8,10,2949,GoldenEye (1995),Dr. No (1962),28265,3.42145763311516
9,11,440,"American President, The (1995)",Dave (1993),17042,3.6571705198920315
10,12,3753,Dracula: Dead and Loving It (1995),"Patriot, The (2000)",3741,2.6245656241646618
11,14,95875,Nixon (1995),Total Recall (2012),5509,3.4234888364494465
12,15,434,Cutthroat Island (1995),Cliffhanger (1993),2760,2.7190217391304348
13,16,1213,Casino (1995),Goodfellas (1990),18404,3.8237068028689416
14,17,1296,Sense and Sensibility (1995),"Room with a View, A (1986)",19729,3.948806325713417
15,18,6,Four Rooms (1995),Heat (1995),5374,3.3843505768515074
16,19,344,Ace Ventura: When Nature Calls (1995),Ace Ventura: Pet Detective (1994),21552,2.6421677802524126
17,20,3763,Money Train (1995),F/X (1986),3840,2.869921875
18,21,800,Get Shorty (1995),Lone Star (1996),22277,3.5701620505454055
19,22,3005,Copycat (1995),"Bone Collector, The (1999)",9237,3.3200173216412256
20,23,1792,Assassins (1995),U.S. Marshals (1998),4108,3.145691333982473
21,24,31,Powder (1995),Dangerous Minds (1995),7450,3.18758389261745
22,25,2395,Leaving Las Vegas (1995),Rushmore (1998),20070,3.677304434479322
23,26,28,Othello (1995),Persuasion (1995),2549,3.606708513142409
24,28,17,Persuasion (1995),Sense and Sensibility (1995),2950,4.03
25,29,1175,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Delicatessen (1991),8305,3.936724864539434
26,31,524,Dangerous Minds (1995),Rudy (1993),9106,3.244838567977158
27,32,4878,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Donnie Darko (2001),47054,3.9057678412037236
28,34,364,Babe (1995),"Lion King, The (1994)",31456,3.6031917599186163
29,36,1041,Dead Man Walking (1995),Secrets & Lies (1996),19388,3.91868681658758
30,39,3882,Clueless (1995),Bring It On (2000),26230,3.4187380861608845
31,41,1041,Richard III (1995),Secrets & Lies (1996),4266,3.843413033286451
32,42,2160,Dead Presidents (1995),Rosemary's Baby (1968),2300,3.0495652173913044
33,43,1224,Restoration (1995),Henry V (1989),2308,3.4499566724436743
34,44,520,Mortal Kombat (1995),Robin Hood: Men in Tights (1993),10629,2.6546241414996707
35,45,52,To Die For (1995),Mighty Aphrodite (1995),8267,3.382907947260191
36,46,996,How to Make an American Quilt (1995),Last Man Standing (1996),2889,3.2634129456559364
37,47,593,Seven (a.k.a. Se7en) (1995),"Silence of the Lambs, The (1991)",50596,4.0791663372598626
38,48,594,Pocahontas (1995),Snow White and the Seven Dwarfs (1937),13461,2.9777505385929723
39,50,4226,"Usual Suspects, The (1995)",Memento (2000),55366,4.284353213163313
40,52,58,Mighty Aphrodite (1995),"Postman, The (Postino, Il) (1994)",8543,3.532892426548051
41,57,417,Home for the Holidays (1995),Barcelona (1994),2236,3.320438282647585
42,58,515,"Postman, The (Postino, Il) (1994)","Remains of the Day, The (1993)",10483,3.9679004101879234
43,60,5009,"Indian in the Cupboard, The (1995)",Ali (2001),5960,3.0958892617449663
44,61,280,Eye for an Eye (1996),Murder in the First (1995),2088,3.3160919540229883
45,62,524,Mr. Holland's Opus (1995),Rudy (1993),18242,3.715354676022366
46,63,376,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"River Wild, The (1994)",2336,3.083904109589041
47,65,104,Bio-Dome (1996),Happy Gilmore (1996),4663,2.37025520051469
48,66,2357,Lawnmower Man 2: Beyond Cyberspace (1996),Central Station (Central do Brasil) (1998),2215,2.1376975169300225
49,69,333,Friday (1995),Tommy Boy (1995),4278,3.5583216456287987
50,70,318,From Dusk Till Dawn (1996),"Shawshank Redemption, The (1994)",14118,3.326568919110356
51,73,1873,"Misérables, Les (1995)","Misérables, Les (1998)",2699,3.796035568729159
52,74,539,Bed of Roses (1996),Sleepless in Seattle (1993),3235,3.2880989180834623
53,76,880,Screamers (1995),"Island of Dr. Moreau, The (1996)",3235,3.010046367851623
54,79,61,"Juror, The (1996)",Eye for an Eye (1996),5061,3.1199367713890536
55,81,4007,Things to Do in Denver When You're Dead (1995),Wall Street (1987),3007,3.2527435982707016
56,82,2917,Antonia's Line (Antonia) (1995),Body Heat (1981),2288,3.9923513986013988
57,85,1203,Angels and Insects (1995),12 Angry Men (1957),2441,3.526833265055305
58,86,3114,White Squall (1996),Toy Story 2 (1999),3921,3.4766641162968632
59,88,432,Black Sheep (1996),City Slickers II: The Legend of Curly's Gold (1994),4730,3.107188160676533
60,89,3095,Nick of Time (1995),"Grapes of Wrath, The (1940)",3095,3.1294022617124395
61,92,177615,Mary Reilly (1996),Lady Bird (2017),2114,2.8500473036896876
62,94,246,Beautiful Girls (1996),Hoop Dreams (1994),3760,3.5279255319148937
63,95,434,Broken Arrow (1996),Cliffhanger (1993),20642,3.077245421955237
64,97,2731,"Hate (Haine, La) (1995)","400 Blows, The (Les quatre cents coups) (1959)",2615,3.9862332695984706
65,100,280,City Hall (1996),Murder in the First (1995),3770,3.2212201591511938
66,101,3481,Bottle Rocket (1996),High Fidelity (2000),4438,3.7673501577287065
67,104,333,Happy Gilmore (1996),Tommy Boy (1995),19190,3.3943981240229286
68,105,261,"Bridges of Madison County, The (1995)",Little Women (1994),9006,3.3332222962469467
69,107,103335,Muppet Treasure Island (1996),Despicable Me 2 (2013),6015,3.2168744804655027
70,110,3578,Braveheart (1995),Gladiator (2000),59184,4.002272573668559
71,111,1228,Taxi Driver (1976),Raging Bull (1980),29133,4.083479216009336
72,112,1429,Rumble in the Bronx (Hont faan kui) (1995),First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996),10958,3.40623288921336
73,122,218,Boomerang (1992),Boys on the Side (1995),3588,2.8593924191750277
74,123,2731,Chungking Express (Chung Hing sam lam) (1994),"400 Blows, The (Les quatre cents coups) (1959)",2607,3.9913693901035674
75,125,1394,Flirting With Disaster (1996),Raising Arizona (1987),3231,3.744196843082637
76,135,5541,Down Periscope (1996),Hot Shots! (1991),5932,3.0018543492919756
77,140,1441,Up Close and Personal (1996),Benny & Joon (1993),4553,3.287283110037338
78,141,5991,"Birdcage, The (1996)",Chicago (2002),20757,3.5101652454593633
79,144,3174,"Brothers McMullen, The (1995)",Man on the Moon (1999),4097,3.4649743714913352
80,145,165,Bad Boys (1995),Die Hard: With a Vengeance (1995),12796,3.275515786183182
81,147,6016,"Basketball Diaries, The (1995)",City of God (Cidade de Deus) (2002),4222,3.5833728090952155
82,150,1231,Apollo 13 (1995),"Right Stuff, The (1983)",48377,3.87355561527172
83,151,17,Rob Roy (1995),Sense and Sensibility (1995),11595,3.53139284174213
84,153,592,Batman Forever (1995),Batman (1989),31101,2.8716600752387382
85,154,68791,Beauty of the Day (Belle de jour) (1967),Terminator Salvation (2009),2889,3.786777431637245
86,157,30825,Canadian Bacon (1995),Meet the Fockers (2004),2432,2.7942023026315788
87,158,339,Casper (1995),While You Were Sleeping (1995),12589,2.921479069028517
88,159,798,Clockers (1995),Daylight (1996),2209,3.4178361249434133
89,160,110,Congo (1995),Braveheart (1995),13853,2.6022161264708004
90,161,454,Crimson Tide (1995),"Firm, The (1993)",22340,3.739861235452104
91,162,2677,Crumb (1994),Buena Vista Social Club (1999),5633,4.008077401029647
92,163,53519,Desperado (1995),Death Proof (2007),14216,3.4392585818795722
93,164,2912,Devil in a Blue Dress (1995),"Limey, The (1999)",4011,3.4522562951882323
94,165,1370,Die Hard: With a Vengeance (1995),Die Hard 2 (1990),33731,3.506566659749192
95,168,236,First Knight (1995),French Kiss (1995),11309,3.081881687151826
96,169,4214,Free Willy 2: The Adventure Home (1995),Revenge of the Nerds (1984),3172,2.269546027742749
97,170,69644,Hackers (1995),Ice Age: Dawn of the Dinosaurs (2009),7721,3.215710400207227
98,172,2011,Johnny Mnemonic (1995),Back to the Future Part II (1989),12156,2.7515630141493914
99,173,2011,Judge Dredd (1995),Back to the Future Part II (1989),14758,2.555359804851606
100,175,147,Kids (1995),"Basketball Diaries, The (1995)",4744,3.507799325463744
101,176,246,Living in Oblivion (1995),Hoop Dreams (1994),2203,3.8490694507489787
102,177,2764,Lord of Illusions (1995),"Thomas Crown Affair, The (1968)",2149,2.8892508143322475
103,180,2502,Mallrats (1995),Office Space (1999),8366,3.5757829309108295
104,181,5943,Mighty Morphin Power Rangers: The Movie (1995),Maid in Manhattan (2002),2539,1.9535250098463963
105,185,339,"Net, The (1995)",While You Were Sleeping (1995),23018,3.102854287948562
106,186,357,Nine Months (1995),Four Weddings and a Funeral (1994),10419,2.8772434974565697
107,188,55290,"Prophecy, The (1995)",Gone Baby Gone (2007),2390,3.3334728033472802
108,193,1214,Showgirls (1995),Alien (1979),7142,2.2478297395687483
109,194,281,Smoke (1995),Nobody's Fool (1994),5459,3.8442938267081885
110,195,3911,Something to Talk About (1995),Best in Show (2000),2938,3.077944179714091
111,196,5618,Species (1995),Spirited Away (Sen to Chihiro no kamikakushi) (2001),12993,2.8360270915108137
112,198,32,Strange Days (1995),Twelve Monkeys (a.k.a. 12 Monkeys) (1995),8646,3.417996761508212
113,203,357,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Four Weddings and a Funeral (1994),5060,3.1462450592885376
114,204,786,Under Siege 2: Dark Territory (1995),Eraser (1996),7882,2.926604922608475
