,index,movieId,title,genres
0,0,0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy
1,1,1,Jumanji (1995),Adventure|Children|Fantasy
2,2,2,Grumpier Old Men (1995),Comedy|Romance
3,3,3,Waiting to Exhale (1995),Comedy|Drama|Romance
4,4,4,Father of the Bride Part II (1995),Comedy
5,5,5,Heat (1995),Action|Crime|Thriller
6,6,6,Sabrina (1995),Comedy|Romance
7,8,7,Sudden Death (1995),Action
8,9,8,GoldenEye (1995),Action|Adventure|Thriller
9,10,9,"American President, The (1995)",Comedy|Drama|Romance
10,11,10,Dracula: Dead and Loving It (1995),Comedy|Horror
11,13,11,Nixon (1995),Drama
12,14,12,Cutthroat Island (1995),Action|Adventure|Romance
13,15,13,Casino (1995),Crime|Drama
14,16,14,Sense and Sensibility (1995),Drama|Romance
15,17,15,Four Rooms (1995),Comedy
16,18,16,Ace Ventura: When Nature Calls (1995),Comedy
17,19,17,Money Train (1995),Action|Comedy|Crime|Drama|Thriller
18,20,18,Get Shorty (1995),Comedy|Crime|Thriller
19,21,19,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
20,22,20,Assassins (1995),Action|Crime|Thriller
21,23,21,Powder (1995),Drama|Sci-Fi
22,24,22,Leaving Las Vegas (1995),Drama|Romance
23,25,23,Othello (1995),Drama
24,27,24,Persuasion (1995),Drama|Romance
25,28,25,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi
26,30,26,Dangerous Minds (1995),Drama
27,31,27,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
28,33,28,Babe (1995),Children|Drama
29,35,29,Dead Man Walking (1995),Crime|Drama
30,38,30,Clueless (1995),Comedy|Romance
31,40,31,Richard III (1995),Drama|War
32,41,32,Dead Presidents (1995),Action|Crime|Drama
33,42,33,Restoration (1995),Drama
34,43,34,Mortal Kombat (1995),Action|Adventure|Fantasy
35,44,35,To Die For (1995),Comedy|Drama|Thriller
36,45,36,How to Make an American Quilt (1995),Drama|Romance
37,46,37,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
38,47,38,Pocahontas (1995),Animation|Children|Drama|Musical|Romance
39,49,39,"Usual Suspects, The (1995)",Crime|Mystery|Thriller
40,51,40,Mighty Aphrodite (1995),Comedy|Drama|Romance
41,56,41,Home for the Holidays (1995),Drama
42,57,42,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
43,59,43,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
44,60,44,Eye for an Eye (1996),Drama|Thriller
45,61,45,Mr. Holland's Opus (1995),Drama
46,62,46,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime
47,64,47,Bio-Dome (1996),Comedy
48,65,48,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller
49,68,49,Friday (1995),Comedy
50,69,50,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
51,72,51,"Misérables, Les (1995)",Drama|War
52,73,52,Bed of Roses (1996),Drama|Romance
53,75,53,Screamers (1995),Action|Sci-Fi|Thriller
54,78,54,"Juror, The (1996)",Drama|Thriller
55,80,55,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance
56,81,56,Antonia's Line (Antonia) (1995),Comedy|Drama
57,84,57,Angels and Insects (1995),Drama|Romance
58,85,58,White Squall (1996),Action|Adventure|Drama
59,87,59,Black Sheep (1996),Comedy
60,88,60,Nick of Time (1995),Action|Thriller
61,90,61,Mary Reilly (1996),Drama|Horror|Thriller
62,92,62,Beautiful Girls (1996),Comedy|Drama|Romance
63,93,63,Broken Arrow (1996),Action|Adventure|Thriller
64,95,64,"Hate (Haine, La) (1995)",Crime|Drama
