,0
0,1206
1,825
2,1111
3,42
4,183
5,372
6,1001
7,1831
8,1147
9,232
10,1367
11,2250
12,230
13,518
14,596
15,5
16,185
17,1369
18,359
19,1167
20,757
21,26
22,980
23,24
24,14
25,493
26,270
27,1529
28,198
29,448
30,1387
31,448
32,901
33,528
34,269
35,40
36,424
37,302
38,303
39,1456
40,42
41,221
42,265
43,1550
44,153
45,270
46,207
47,67
48,957
49,180
50,173
51,768
52,280
53,376
54,44
55,1420
56,1137
57,509
58,1206
59,229
60,1197
61,2417
62,135
63,230
64,1092
65,153
66,1299
67,180
68,144
69,2287
70,1325
71,532
72,655
73,119
74,1092
75,644
76,1606
77,658
78,1643
79,1218
80,94
81,1648
82,534
83,14
84,301
85,2103
86,1846
87,183
88,357
89,70
90,238
91,1063
92,1979
93,1134
94,627
95,132
96,1454
97,2112
98,829
99,829
100,81
101,135
102,1104
103,1025
104,1633
105,183
106,194
107,2002
108,519
109,154
110,1391
111,1611
112,27
113,194
114,355
115,157
116,677
117,1793
118,1075
119,115
120,155
121,1025
122,194
123,1103
124,94
125,616
126,24
127,788
128,600
129,2323
130,1778
131,1391
132,280
133,183
134,433
135,1125
136,381
137,180
138,529
139,183
140,612
141,230
142,153
143,503
144,145
145,273
146,128
147,300
148,145
149,23
150,619
151,152
152,439
153,83
154,187
155,181
156,1317
157,133
158,1675
159,208
160,550
161,465
162,802
163,272
164,1125
165,1461
166,167
167,166
168,166
169,273
170,20
171,628
172,259
173,1208
174,309
175,154
176,231
177,1132
178,978
179,2188
180,185
181,801
182,1627
183,280
184,186
185,127
186,712
187,337
188,699
189,238
190,157
191,140
192,229
193,1208
194,606
195,184
196,9
197,144
198,298
199,1617
200,1671
201,94
202,242
203,1774
204,62
205,390
206,1142
207,320
208,338
209,408
210,347
211,319
212,181
213,2235
214,153
215,586
216,1875
217,274
218,596
219,117
220,1470
221,135
222,527
223,1606
224,1510
225,24
226,2108
227,228
228,13
229,2
230,114
231,137
232,9
233,1138
234,211
235,2064
236,2406
237,2357
238,189
239,28
240,921
241,245
242,1606
243,194
244,345
245,240
246,262
247,258
248,299
249,37
250,292
251,876
252,152
253,142
254,183
255,417
256,173
257,208
258,14
259,296
260,1794
261,471
262,29
263,155
264,1194
265,276
266,24
267,1470
268,1554
269,1385
270,1392
271,1645
272,135
273,24
274,181
275,173
276,258
277,181
278,450
279,187
280,306
281,510
282,519
283,145
284,1493
285,355
286,173
287,124
288,2075
289,1878
290,197
291,240
292,161
293,91
294,439
295,64
296,830
297,306
298,304
299,541
300,147
301,2035
302,501
303,456
304,298
305,443
306,183
307,514
308,9
309,2008
310,166
311,981
312,24
313,439
314,1967
315,1637
316,439
317,690
318,9
319,1948
320,30
321,443
322,54
323,2035
324,1219
325,1570
326,609
327,1259
328,589
329,80
330,1695
331,280
332,1592
333,539
334,20
335,489
336,1392
337,14
338,211
339,208
340,407
341,519
342,1606
343,489
344,631
345,494
346,2195
347,2078
348,270
349,1395
350,687
351,453
352,435
353,1072
354,67
355,208
356,67
357,639
358,140
359,423
360,572
361,1498
362,153
363,453
364,1387
365,240
366,72
367,2298
368,14
369,1108
370,1399
371,9
372,525
373,364
374,390
375,368
376,1301
377,387
378,391
379,378
380,533
381,382
382,385
383,393
384,377
385,382
386,416
387,385
388,405
389,398
390,585
391,1037
392,393
393,389
394,456
395,852
396,579
397,1284
398,510
399,282
400,397
401,1284
402,385
403,381
404,303
405,382
406,377
407,391
408,390
409,417
410,377
411,570
412,548
413,439
414,415
415,419
416,377
417,385
418,1762
419,389
420,477
421,145
422,42
423,980
424,1493
425,2236
426,1562
427,92
428,2360
429,145
430,6
431,1959
432,1197
433,449
434,2395
435,857
436,856
437,866
438,270
439,304
440,303
441,436
442,439
443,305
444,856
445,439
446,820
447,1004
448,1407
449,189
450,338
451,1083
452,1331
453,1469
454,788
455,1202
456,855
457,533
458,589
459,579
460,487
461,1524
462,532
463,382
464,391
465,161
466,840
467,1952
468,1137
469,1892
470,448
471,928
472,599
473,394
474,923
475,606
476,410
477,400
478,850
479,807
480,1385
481,335
482,1315
483,1353
484,485
485,484
486,1897
487,460
488,501
489,343
490,850
491,1259
492,854
493,1704
494,345
495,335
496,793
497,181
498,91
499,678
500,748
501,509
502,251
503,515
504,571
505,592
506,25
507,519
508,1344
509,792
510,834
511,559
512,414
513,536
514,508
515,503
516,1305
517,549
518,372
519,507
520,562
521,834
522,550
523,381
524,717
525,372
526,513
527,343
528,258
529,398
530,1473
531,525
532,477
533,545
534,573
535,1305
536,551
537,509
538,548
539,1566
540,958
541,299
542,562
543,573
544,258
545,533
546,309
547,560
548,533
549,517
550,372
551,536
552,539
553,390
554,601
555,398
556,458
557,416
558,1138
559,511
560,1115
561,381
562,1446
