,0
0,3
1,1
2,4
3,3
4,1
5,1
6,1
7,2
8,3
9,2
10,7
11,9
12,2
13,13
14,32
15,6
16,4
17,5
18,1
19,1
20,23
21,11
22,1
23,6
24,5
25,2
26,2
27,1
28,7
29,2
30,1
31,3
32,3
33,5
34,1
35,4
36,8
37,5
38,6
39,7
40,2
41,6
42,5
43,1
44,5
45,1
46,18
47,12
48,6
49,2
50,8
51,2
52,25
53,7
54,2
55,3
56,6
57,2
58,2
59,3
60,3
61,4
62,2
63,2
64,2
65,4
66,3
67,8
68,14
69,84
70,1
71,7
72,1
73,9
74,30
75,1
76,10
77,1
78,2
79,13
80,3
81,24
82,14
83,2
84,1
85,1
86,5
87,5
88,9
89,18
90,2
91,3
92,2
93,4
94,15
95,9
96,1
97,1
98,5
99,1
100,5
101,6
102,5
103,3
104,6
105,16
106,2
107,1
108,39
109,4
110,1
111,7
112,3
113,2
114,7
115,17
116,2
117,2
118,1
119,2
120,18
121,1
122,12
123,1
124,1
125,2
126,4
127,15
128,8
129,4
130,10
131,13
132,2
133,13
134,2
135,3
136,2
137,6
138,5
139,3
140,2
141,3
142,7
143,12
144,3
145,3
146,2
147,9
148,4
149,3
150,4
151,6
152,2
153,2
154,3
155,2
156,2
157,2
158,43
159,1
160,20
161,4
162,1
163,16
164,2
165,7
166,2
167,3
168,9
169,1
170,7
171,7
172,11
173,1
174,1
175,4
176,2
177,2
178,25
179,2
180,4
181,6
182,2
183,14
184,4
185,2
186,17
187,1
188,9
189,2
190,4
191,2
192,9
193,2
194,2
195,2
196,18
197,5
198,4
199,24
200,3
201,26
202,5
203,5
204,8
205,4
206,5
207,6
208,10
209,3
210,14
211,1
212,2
213,6
214,1
215,2
216,2
217,7
218,2
219,8
220,5
221,1
222,3
223,2
224,4
225,32
226,11
227,1
228,5
229,3
230,6
231,2
232,12
233,11
234,2
235,2
236,2
237,7
238,1
239,4
240,2
241,12
242,2
243,6
244,1
245,1
246,12
247,1
248,2
249,39
250,5
251,3
252,2
253,7
254,24
255,9
256,2
257,8
258,4
259,5
260,49
261,5
262,170
263,2
264,2
265,13
266,8
267,37
268,14
269,3
270,17
271,24
272,1
273,1
274,1
275,5
276,7
277,2
278,3
279,5
280,6
281,2
282,1
283,3
284,17
285,8
286,2
287,25
288,8
289,10
290,1
291,5
292,13
293,1
294,2
295,3
296,1
297,1
298,1
299,6
300,2
301,3
302,2
303,1
304,1
305,2
306,32
307,1
308,17
309,2
310,9
311,18
312,5
313,8
314,2
315,5
316,2
317,4
318,3
319,1
320,5
321,6
322,5
323,3
324,5
325,3
326,1
327,4
328,1
329,11
330,12
331,1
332,16
333,7
334,7
335,1
336,4
337,7
338,3
339,9
340,2
341,51
342,22
343,4
344,2
345,4
346,3
347,23
348,1
349,1
350,42
351,3
352,1
353,5
354,16
355,3
356,16
357,4
358,1
359,3
360,2
361,3
362,1
363,1
364,8
365,40
366,5
367,2
368,5
369,1
370,14
371,2
372,1
373,9
374,2
375,2
376,10
377,3
378,1
379,4
380,30
381,13
382,19
383,4
384,4
385,2
386,1
387,1
388,8
389,9
390,8
391,1
392,1
393,6
394,5
395,1
396,6
397,1
398,7
399,1
400,6
401,9
402,20
403,2
404,11
405,3
406,2
407,1
408,7
409,1
410,3
411,23
412,5
413,1
414,4
415,1
416,10
417,13
418,18
419,1
420,1
421,11
422,1
423,3
424,8
425,1
426,2
427,7
428,9
429,7
430,2
431,45
432,4
433,4
434,7
435,12
436,8
437,7
438,2
439,11
440,6
441,1
442,1
443,1
444,1
445,24
446,2
447,2
448,27
449,1
450,1
451,1
452,1
453,6
454,4
455,47
456,17
457,1
458,32
459,3
460,14
461,1
462,1
463,2
464,1
465,3
466,9
467,10
468,1
469,8
470,2
471,1
472,174
473,4
474,4
475,1
476,23
477,45
478,2
479,2
480,1
481,3
482,54
483,7
484,6
485,2
486,3
487,5
488,18
489,1
490,4
491,21
492,1
493,7
494,11
495,6
496,1
497,1
498,10
499,6
500,2
501,10
502,9
503,3
504,14
505,18
506,15
507,3
508,9
509,18
510,2
511,4
512,4
513,1
514,26
515,3
516,7
517,2
518,1
519,6
520,1
521,3
522,2
523,9
524,1
525,12
526,3
527,21
528,14
529,1
530,7
531,11
532,2
533,3
534,1
535,4
536,9
537,2
538,22
539,1
540,5
541,7
542,1
543,2
544,3
545,1
546,2
547,15
548,2
549,1
550,8
551,24
552,14
553,1
554,9
555,8
556,2
557,2
558,51
559,6
560,2
561,4
562,20
563,6
564,5
565,7
566,10
567,5
568,4
569,8
570,9
571,4
572,2
573,18
574,44
575,3
576,2
577,4
578,10
579,6
580,11
581,2
582,3
583,4
584,5
585,1
586,1
587,6
588,6
589,3
590,11
591,312
592,3
593,1
594,8
595,4
596,3
597,7
598,2
599,2
600,3
601,14
602,1
603,1
604,3
605,5
606,1
607,1
608,11
609,1
610,4
611,1
612,6
613,2
614,22
615,8
616,4
617,1
618,16
619,12
620,2
621,3
622,9
623,5
624,24
625,17
626,7
627,3
628,12
629,3
630,1
631,3
632,9
633,3
634,11
635,2
636,2
637,2
638,4
639,4
640,3
641,23
642,17
643,9
644,7
645,55
646,4
647,1
648,16
649,1
650,1
651,28
652,1
653,13
654,2
655,19
656,2
657,1
658,2
659,8
660,22
661,1
662,2
663,13
664,5
665,1
666,5
667,15
668,4
669,2
670,1
671,3
672,2
673,6
674,2
675,2
676,3
677,1
678,3
679,5
680,16
681,1
682,3
683,3
684,1
685,1
686,62
687,6
688,10
689,3
690,43
691,3
692,33
693,3
694,1
695,11
696,1
697,10
698,56
699,6
700,6
701,2
702,2
703,2
704,3
705,11
706,1
707,10
708,26
709,8
710,7
711,10
712,3
713,18
714,3
715,1
716,1
717,15
718,13
719,5
720,99
721,2
722,3
723,1
724,10
725,6
726,2
727,4
728,3
729,1
730,3
731,11
732,15
733,2
734,5
735,1
736,3
737,10
738,12
739,1
740,4
741,6
742,1
743,1
744,8
745,13
746,12
747,2
748,10
749,1
750,2
751,2
752,1
753,26
754,10
755,5
756,2
757,2
758,16
759,6
760,7
761,4
762,7
763,42
764,7
765,5
766,9
767,11
768,1
769,2
770,87
771,4
772,15
773,1
774,22
775,4
776,1
777,4
778,4
779,1
780,16
781,11
782,5
783,4
784,28
785,1
786,15
787,17
788,1
789,1
790,1
791,2
792,5
793,3
794,1
795,1
796,3
797,1
798,12
799,2
800,4
801,18
802,2
803,66
804,1
805,5
806,8
807,8
808,4
809,13
810,3
811,6
812,1
813,1
814,1
815,8
816,4
817,4
818,27
819,3
820,1
821,2
822,6
823,2
824,4
825,3
826,4
827,1
828,9
829,2
830,1
831,2
832,2
833,46
834,41
835,2
836,2
837,22
838,9
839,1
840,47
841,3
842,8
843,1
844,13
845,6
846,2
847,17
848,3
849,4
850,12
851,105
852,16
853,2
854,3
855,7
856,1
857,2
858,1
859,10
860,4
861,9
862,5
863,2
864,32
865,1
866,2
867,1
868,5
869,6
870,1
871,3
872,7
873,27
874,2
875,3
876,1
877,1
878,1
879,28
880,5
881,225
882,9
883,2
884,1
885,2
886,2
887,8
888,3
889,2
890,4
891,5
892,7
893,1
894,2
895,3
896,3
897,2
898,7
899,2
900,5
901,12
902,5
903,1
904,3
905,11
906,3
907,2
908,39
909,16
910,2
911,1
912,12
913,2
914,27
915,2
916,6
917,33
918,9
919,8
920,5
921,5
922,11
923,3
924,11
925,24
926,6
927,1
928,6
929,12
930,1
931,7
932,2
933,5
934,3
935,2
936,6
937,19
938,4
939,4
940,6
941,12
942,5
943,2
944,1
945,8
946,29
947,4
948,15
949,3
950,4
951,2
952,3
953,2
954,3
955,2
956,4
957,3
958,2
959,1
960,2
961,3
962,5
963,2
964,5
965,3
966,1
967,5
968,7
969,3
970,7
971,10
972,2
973,10
974,10
975,10
976,10
977,2
978,9
979,23
980,1
981,4
982,1
983,2
984,25
985,1
986,4
987,19
988,3
989,6
990,8
991,9
992,3
993,8
994,9
995,10
996,6
997,9
998,3
999,3
1000,11
1001,12
1002,5
1003,2
1004,3
1005,1
1006,24
1007,2
1008,3
1009,3
1010,3
1011,9
1012,6
1013,1
1014,14
1015,2
1016,247
1017,1
1018,2
1019,4
1020,11
1021,2
1022,2
1023,5
1024,1
1025,1
1026,11
1027,7
1028,3
1029,2
1030,1
1031,3
1032,16
1033,1
1034,1
1035,3
1036,48
1037,3
1038,32
1039,2
1040,10
1041,10
1042,10
1043,26
1044,1
1045,1
1046,12
1047,17
1048,18
1049,4
1050,1
1051,8
1052,29
1053,1
1054,3
1055,4
1056,6
1057,5
1058,2
1059,3
1060,25
1061,3
1062,1
1063,1
1064,2
1065,12
1066,6
1067,3
1068,74
1069,67
1070,14
1071,7
1072,2
1073,1
1074,8
1075,8
1076,1
1077,4
1078,4
1079,10
1080,1
1081,11
1082,4
1083,13
1084,1
1085,8
1086,1
1087,6
1088,4
1089,4
