,movieID,recomendation,movie name,recomendation name,num_reviews,avg_review
0,1,555,Toy Story (1995),True Romance (1993),57309,3.893707794587238
1,2,4993,Jumanji (1995),"Lord of the Rings: The Fellowship of the Ring, The (2001)",24228,3.2515271586594023
2,3,72641,Grumpier Old Men (1995),"Blind Side, The  (2009)",11804,3.142028126058963
3,4,1711,Waiting to Exhale (1995),Midnight in the Garden of Good and Evil (1997),2523,2.85354736424891
4,5,89492,Father of the Bride Part II (1995),Moneyball (2011),11714,3.0584343520573674
5,6,527,Heat (1995),Schindler's List (1993),24588,3.854908898649748
6,7,1283,Sabrina (1995),High Noon (1952),12132,3.3636663369601054
7,9,72737,Sudden Death (1995),"Princess and the Frog, The (2009)",3711,2.992050660199407
8,10,318,GoldenEye (1995),"Shawshank Redemption, The (1994)",28265,3.42145763311516
9,11,318,"American President, The (1995)","Shawshank Redemption, The (1994)",17042,3.6571705198920315
10,12,158,Dracula: Dead and Loving It (1995),Casper (1995),3741,2.6245656241646618
11,14,4238,Nixon (1995),Along Came a Spider (2001),5509,3.4234888364494465
12,15,47997,Cutthroat Island (1995),Idiocracy (2006),2760,2.7190217391304348
13,16,6,Casino (1995),Heat (1995),18404,3.8237068028689416
14,17,593,Sense and Sensibility (1995),"Silence of the Lambs, The (1991)",19729,3.948806325713417
15,18,858,Four Rooms (1995),"Godfather, The (1972)",5374,3.3843505768515074
16,19,53123,Ace Ventura: When Nature Calls (1995),Once (2006),21552,2.6421677802524126
17,20,296,Money Train (1995),Pulp Fiction (1994),3840,2.869921875
18,21,858,Get Shorty (1995),"Godfather, The (1972)",22277,3.5701620505454055
19,22,858,Copycat (1995),"Godfather, The (1972)",9237,3.3200173216412256
20,23,1371,Assassins (1995),Star Trek: The Motion Picture (1979),4108,3.145691333982473
21,24,858,Powder (1995),"Godfather, The (1972)",7450,3.18758389261745
22,25,318,Leaving Las Vegas (1995),"Shawshank Redemption, The (1994)",20070,3.677304434479322
23,26,1186,Othello (1995),"Sex, Lies, and Videotape (1989)",2549,3.606708513142409
24,28,318,Persuasion (1995),"Shawshank Redemption, The (1994)",2950,4.03
25,29,50,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","Usual Suspects, The (1995)",8305,3.936724864539434
26,31,3147,Dangerous Minds (1995),"Green Mile, The (1999)",9106,3.244838567977158
27,32,50,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"Usual Suspects, The (1995)",47054,3.9057678412037236
28,34,858,Babe (1995),"Godfather, The (1972)",31456,3.6031917599186163
29,36,1250,Dead Man Walking (1995),"Bridge on the River Kwai, The (1957)",19388,3.91868681658758
30,39,296,Clueless (1995),Pulp Fiction (1994),26230,3.4187380861608845
31,41,1084,Richard III (1995),Bonnie and Clyde (1967),4266,3.843413033286451
32,42,318,Dead Presidents (1995),"Shawshank Redemption, The (1994)",2300,3.0495652173913044
33,43,858,Restoration (1995),"Godfather, The (1972)",2308,3.4499566724436743
34,44,3361,Mortal Kombat (1995),Bull Durham (1988),10629,2.6546241414996707
35,45,8958,To Die For (1995),Ray (2004),8267,3.382907947260191
36,46,318,How to Make an American Quilt (1995),"Shawshank Redemption, The (1994)",2889,3.2634129456559364
37,47,1201,Seven (a.k.a. Se7en) (1995),"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",50596,4.0791663372598626
38,48,237,Pocahontas (1995),Forget Paris (1995),13461,2.9777505385929723
39,50,296,"Usual Suspects, The (1995)",Pulp Fiction (1994),55366,4.284353213163313
40,52,858,Mighty Aphrodite (1995),"Godfather, The (1972)",8543,3.532892426548051
41,57,3827,Home for the Holidays (1995),Space Cowboys (2000),2236,3.320438282647585
