,movieID,recomendation,movie name,recomendation name,num_reviews,avg_review
0,1,318,Toy Story (1995),"Shawshank Redemption, The (1994)",57309,3.893707794587238
1,2,318,Jumanji (1995),"Shawshank Redemption, The (1994)",24228,3.2515271586594023
2,3,318,Grumpier Old Men (1995),"Shawshank Redemption, The (1994)",11804,3.142028126058963
3,4,1290,Waiting to Exhale (1995),Some Kind of Wonderful (1987),2523,2.85354736424891
4,5,2369,Father of the Bride Part II (1995),Desperately Seeking Susan (1985),11714,3.0584343520573674
5,6,318,Heat (1995),"Shawshank Redemption, The (1994)",24588,3.854908898649748
6,7,50,Sabrina (1995),"Usual Suspects, The (1995)",12132,3.3636663369601054
7,9,100,Sudden Death (1995),City Hall (1996),3711,2.992050660199407
8,10,1221,GoldenEye (1995),"Godfather: Part II, The (1974)",28265,3.42145763311516
9,11,318,"American President, The (1995)","Shawshank Redemption, The (1994)",17042,3.6571705198920315
10,12,8371,Dracula: Dead and Loving It (1995),"Chronicles of Riddick, The (2004)",3741,2.6245656241646618
11,14,114935,Nixon (1995),Predestination (2014),5509,3.4234888364494465
12,15,464,Cutthroat Island (1995),Hard Target (1993),2760,2.7190217391304348
13,16,858,Casino (1995),"Godfather, The (1972)",18404,3.8237068028689416
14,17,1,Sense and Sensibility (1995),Toy Story (1995),19729,3.948806325713417
15,18,1203,Four Rooms (1995),12 Angry Men (1957),5374,3.3843505768515074
16,19,1282,Ace Ventura: When Nature Calls (1995),Fantasia (1940),21552,2.6421677802524126
17,20,136864,Money Train (1995),Batman v Superman: Dawn of Justice (2016),3840,2.869921875
18,21,296,Get Shorty (1995),Pulp Fiction (1994),22277,3.5701620505454055
19,22,104241,Copycat (1995),Kick-Ass 2 (2013),9237,3.3200173216412256
20,23,2640,Assassins (1995),Superman (1978),4108,3.145691333982473
21,24,1914,Powder (1995),Smoke Signals (1998),7450,3.18758389261745
22,25,858,Leaving Las Vegas (1995),"Godfather, The (1972)",20070,3.677304434479322
23,26,2470,Othello (1995),Crocodile Dundee (1986),2549,3.606708513142409
24,28,858,Persuasion (1995),"Godfather, The (1972)",2950,4.03
25,29,1214,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Alien (1979),8305,3.936724864539434
26,31,2193,Dangerous Minds (1995),Willow (1988),9106,3.244838567977158
