,0
0,292
1,1547
2,2135
3,736
4,2218
5,271
6,584
7,2136
8,173
9,173
10,87
11,1459
12,1936
13,5
14,302
15,372
16,1974
17,161
18,372
19,372
20,628
21,372
22,173
23,498
24,173
25,39
26,1208
27,39
28,372
29,551
30,161
31,462
32,173
33,372
34,1269
35,1818
36,173
37,508
38,133
39,161
40,372
41,1380
42,505
43,2192
44,122
45,525
46,727
47,970
48,1092
49,39
50,173
51,1879
52,315
53,1086
54,382
55,173
56,834
57,287
58,1901
59,1377
60,430
61,1484
62,764
63,1
64,397
65,409
66,173
67,494
68,1493
69,1606
70,532
71,487
72,372
73,941
74,173
75,173
76,173
77,834
78,173
79,504
80,505
81,372
82,699
83,173
84,39
85,382
86,930
87,2245
88,2210
89,1994
90,271
91,173
92,39
93,1291
94,173
95,115
96,41
97,1984
98,2159
99,299
100,372
101,503
102,998
103,173
104,492
105,372
106,1740
107,1611
108,1280
109,121
110,119
111,173
112,525
113,773
114,749
115,425
116,690
117,1039
118,37
119,2263
120,372
121,167
122,2274
123,271
124,559
125,2427
126,173
127,173
128,37
129,2340
130,1853
131,0
132,1788
133,2300
134,211
135,173
136,161
137,2347
138,73
139,173
140,834
141,2401
142,465
143,505
144,1821
145,143
146,834
147,271
148,1562
149,131
150,382
151,173
152,173
153,193
154,1747
155,1406
156,372
157,102
158,168
159,372
160,834
161,173
162,1428
163,173
164,1661
165,752
166,173
167,509
168,27
169,1141
170,161
171,834
172,173
173,271
174,13
175,296
176,372
177,917
178,959
179,562
180,372
181,149
182,1104
183,173
184,382
185,173
186,173
187,363
188,372
189,271
190,888
191,173
192,1693
193,397
194,372
195,1908
196,1434
197,1569
198,2403
199,1673
200,173
201,173
202,509
203,185
204,137
205,681
206,173
207,2175
208,173
209,1977
210,512
211,173
212,396
213,2029
214,1148
215,2415
216,1684
217,2389
218,787
219,173
220,173
221,702
222,479
223,1666
224,688
225,372
226,1273
227,834
228,525
229,173
230,372
231,738
232,173
233,173
234,1139
235,381
236,175
237,173
238,372
239,1299
240,944
241,1394
242,1075
243,672
244,173
245,173
246,2001
247,2132
248,173
249,1626
250,2275
251,372
252,1413
253,2116
254,1880
255,397
256,1882
257,372
258,39
259,173
260,2081
261,132
262,173
263,271
264,702
265,302
266,2101
267,1776
268,2171
269,1801
270,372
271,173
272,372
273,378
274,770
275,2
276,501
277,51
278,518
279,390
280,173
281,1094
282,790
283,243
284,834
285,1996
286,473
287,944
288,2186
289,143
290,591
291,173
292,302
293,1283
294,1974
295,173
296,1562
297,643
298,70
299,70
300,173
301,173
302,173
303,173
304,173
305,42
306,1584
307,1169
308,372
309,487
310,1184
311,345
312,2224
313,258
314,173
315,2342
316,1706
317,937
318,70
319,173
320,2419
321,525
322,2390
323,525
324,173
325,787
326,1459
327,173
328,1391
329,2049
330,1350
331,173
332,2023
333,1933
334,225
335,161
336,372
337,1611
338,372
339,372
340,2190
341,173
342,531
343,489
344,173
345,372
346,1353
347,1287
348,173
349,2389
350,143
351,372
352,1092
353,372
354,1929
355,2296
356,372
357,3
358,718
359,173
360,173
361,1300
362,173
363,967
364,372
365,382
366,614
367,834
368,377
369,754
370,1622
371,834
372,525
373,456
374,372
375,2126
376,1574
377,489
378,161
379,173
380,372
381,382
382,271
383,1449
384,501
385,1248
386,1284
387,173
388,39
389,385
390,400
391,1547
392,525
393,1737
394,487
395,834
396,69
397,501
398,309
399,161
400,525
401,1284
402,2350
403,518
404,377
405,377
406,1864
407,2253
408,389
409,173
410,173
411,553
412,382
413,899
414,173
415,173
416,494
417,390
418,173
419,487
420,1289
421,1682
422,173
423,518
424,350
425,2257
426,372
427,2385
428,1144
429,173
430,834
431,595
432,1027
433,834
434,1685
435,2084
436,734
437,173
438,372
439,173
440,173
441,525
442,709
443,337
444,1283
445,489
446,2314
447,1930
448,29
449,1576
450,385
451,1431
452,372
453,173
454,173
455,173
456,173
457,372
458,509
459,1151
460,487
461,1898
462,372
463,1172
464,1627
465,161
466,525
467,834
468,173
469,2031
470,732
471,2286
472,173
473,173
474,349
475,1625
476,831
477,536
478,173
479,6
480,2388
481,1959
482,503
483,173
484,372
485,173
486,1763
487,383
488,1611
489,271
490,124
491,372
492,173
493,382
494,834
495,1285
496,39
497,795
498,143
499,536
500,345
501,510
502,775
503,173
504,378
505,834
506,37
507,505
508,372
509,1648
510,382
511,389
512,1611
513,509
514,161
515,1115
516,532
517,1641
518,372
519,372
520,487
521,834
522,465
523,390
524,173
525,372
526,525
527,173
528,503
529,372
530,240
531,494
532,372
533,491
534,525
535,372
536,372
537,1039
538,834
539,372
540,390
541,1039
542,1664
543,508
544,487
545,533
546,39
547,173
548,713
549,345
550,1422
551,563
552,505
553,2389
554,39
555,372
556,2341
557,389
558,1611
559,372
560,173
561,271
562,508
563,343
564,834
565,812
566,240
567,604
568,503
569,1836
570,1422
571,503
572,39
573,173
574,2127
575,173
576,372
577,389
578,372
579,398
580,372
581,834
582,39
583,173
584,382
585,568
586,506
587,173
588,1541
589,792
590,385
591,2120
592,173
593,173
594,145
595,82
596,31
597,830
598,372
599,372
600,372
601,2073
602,173
603,1195
604,143
605,501
606,1549
607,507
608,161
609,1596
610,382
611,2081
612,173
613,190
614,442
615,2171
616,1659
617,173
618,1958
619,557
620,1642
621,834
622,173
623,39
624,501
625,1246
626,2301
627,834
628,1067
629,372
630,173
631,1039
632,2132
633,525
634,2035
635,1406
636,2151
637,173
638,168
639,1196
640,2048
641,1920
642,883
643,503
644,173
645,791
646,173
647,1374
648,143
649,173
650,1455
651,193
652,525
653,274
654,2121
655,343
656,2022
657,173
658,173
659,771
660,1574
661,1281
662,834
663,2246
664,1222
665,309
666,309
667,2347
668,173
669,173
670,173
671,1249
672,173
673,372
674,2327
675,487
676,869
677,1941
678,193
679,504
680,173
681,173
682,1194
683,1911
684,1648
685,1151
686,834
687,372
688,173
689,1718
690,79
691,292
692,461
693,372
694,651
695,387
696,173
697,620
698,173
699,564
700,637
701,1722
702,1857
703,1510
704,39
705,2376
706,712
707,173
708,39
709,2340
710,501
711,346
712,525
713,24
714,1342
715,173
716,507
717,372
718,1306
719,173
720,372
721,173
722,1080
723,372
724,2082
725,173
726,173
727,1634
728,1753
729,2321
730,106
731,114
732,2231
733,112
734,271
735,1321
736,1497
737,265
738,173
739,173
740,1611
741,173
742,2285
743,2230
744,372
745,510
746,2146
747,2110
748,173
749,173
750,1369
751,2096
752,525
753,1639
754,505
755,550
756,345
757,227
758,983
759,173
760,1151
761,2093
762,1003
763,933
764,834
765,734
766,1282
767,1277
768,2048
769,1665
770,1442
771,372
772,1528
773,2039
774,39
775,173
776,173
777,412
778,515
779,419
780,2079
781,166
782,173
783,173
784,173
785,173
786,245
787,143
788,173
789,753
790,1284
791,173
792,518
793,494
794,391
795,489
796,194
797,834
798,834
799,173
800,1616
801,173
802,173
803,746
804,173
805,173
806,408
807,1760
808,577
809,1053
810,834
811,947
812,293
813,1438
814,1085
815,2174
816,1648
817,612
818,372
819,173
820,173
821,834
822,2012
823,173
824,1658
825,173
826,173
827,282
828,834
829,173
830,834
831,173
832,173
833,173
834,389
835,372
836,519
837,654
838,173
839,703
840,173
841,880
842,1009
843,1232
844,677
845,2182
846,525
847,173
848,834
849,1869
850,372
851,2406
852,173
853,173
854,173
855,503
856,173
857,1731
858,2035
859,372
860,289
861,492
862,411
863,2164
864,173
865,1440
866,173
867,173
868,1039
869,1402
870,389
871,389
872,1588
873,563
874,748
875,818
876,173
877,173
878,501
879,2369
880,1867
881,1306
882,2427
883,372
884,800
885,509
886,1254
887,372
888,1685
889,173
890,2004
891,173
892,509
893,525
894,173
895,834
896,39
897,1628
898,1590
899,173
900,370
901,345
902,173
903,2408
904,372
905,505
906,372
907,630
908,382
909,1067
910,143
911,173
912,501
913,173
914,148
915,1462
916,501
917,682
918,173
919,1329
920,573
921,504
922,1285
923,2127
924,173
925,39
926,1595
927,518
928,1582
929,1611
930,1128
931,1601
932,1893
933,71
934,173
935,335
936,372
937,196
938,372
939,501
940,323
941,173
942,1175
943,351
944,173
945,1151
946,173
947,681
948,173
949,484
950,372
951,39
952,1285
953,1708
954,173
955,372
956,143
957,553
958,372
959,173
960,372
961,817
962,1139
963,1789
964,173
965,245
966,1442
967,1151
968,1505
969,1802
970,1797
971,1252
972,2206
973,2399
974,1870
975,2079
976,400
977,1196
978,994
979,173
980,173
981,173
982,173
983,1025
984,846
985,2095
986,974
987,39
988,509
989,173
990,1215
991,501
992,1179
993,1629
994,173
