,movieID,recomendation,movie name,recomendation name
0,1,122920,Toy Story (1995),Captain America: Civil War (2016)
1,2,1479,Jumanji (1995),"Saint, The (1997)"
2,3,266,Grumpier Old Men (1995),Legends of the Fall (1994)
3,4,237,Waiting to Exhale (1995),Forget Paris (1995)
4,5,421,Father of the Bride Part II (1995),Black Beauty (1994)
5,6,450,Heat (1995),With Honors (1994)
6,7,242,Sabrina (1995),Farinelli: il castrato (1994)
7,8,2797,Tom and Huck (1995),Big (1988)
8,9,4975,Sudden Death (1995),Vanilla Sky (2001)
9,10,1261,GoldenEye (1995),Evil Dead II (Dead by Dawn) (1987)
10,11,1704,"American President, The (1995)",Good Will Hunting (1997)
11,12,1,Dracula: Dead and Loving It (1995),Toy Story (1995)
12,13,113348,Balto (1995),Teenage Mutant Ninja Turtles (2014)
13,14,500,Nixon (1995),Mrs. Doubtfire (1993)
14,15,49651,Cutthroat Island (1995),Rocky Balboa (2006)
15,16,5952,Casino (1995),"Lord of the Rings: The Two Towers, The (2002)"
16,17,300,Sense and Sensibility (1995),Quiz Show (1994)
17,18,49396,Four Rooms (1995),Tenacious D in The Pick of Destiny (2006)
18,19,588,Ace Ventura: When Nature Calls (1995),Aladdin (1992)
19,20,2123,Money Train (1995),All Dogs Go to Heaven (1989)
20,21,520,Get Shorty (1995),Robin Hood: Men in Tights (1993)
21,22,1270,Copycat (1995),Back to the Future (1985)
22,23,5151,Assassins (1995),40 Days and 40 Nights (2002)
23,24,2858,Powder (1995),American Beauty (1999)
24,25,2335,Leaving Las Vegas (1995),"Waterboy, The (1998)"
25,26,1,Othello (1995),Toy Story (1995)
26,27,1,Now and Then (1995),Toy Story (1995)
27,28,4886,Persuasion (1995),"Monsters, Inc. (2001)"
28,29,27773,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Old Boy (2003)
29,30,1,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Toy Story (1995)
30,31,227,Dangerous Minds (1995),Drop Zone (1994)
31,32,109487,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Interstellar (2014)
32,34,97921,Babe (1995),Silver Linings Playbook (2012)
33,35,61160,Carrington (1995),Star Wars: The Clone Wars (2008)
34,36,1012,Dead Man Walking (1995),Old Yeller (1957)
35,39,5299,Clueless (1995),My Big Fat Greek Wedding (2002)
36,41,788,Richard III (1995),"Nutty Professor, The (1996)"
37,42,117895,Dead Presidents (1995),Maze Runner: Scorch Trials (2015)
38,43,44555,Restoration (1995),"Lives of Others, The (Das leben der Anderen) (2006)"
39,44,2617,Mortal Kombat (1995),"Mummy, The (1999)"
40,45,2081,To Die For (1995),"Little Mermaid, The (1989)"
41,46,608,How to Make an American Quilt (1995),Fargo (1996)
42,47,1036,Seven (a.k.a. Se7en) (1995),Die Hard (1988)
43,48,832,Pocahontas (1995),Ransom (1996)
44,50,1238,"Usual Suspects, The (1995)",Local Hero (1983)
45,52,1,Mighty Aphrodite (1995),Toy Story (1995)
46,57,80463,Home for the Holidays (1995),"Social Network, The (2010)"
47,58,318,"Postman, The (Postino, Il) (1994)","Shawshank Redemption, The (1994)"
48,60,2987,"Indian in the Cupboard, The (1995)",Who Framed Roger Rabbit? (1988)
49,61,2694,Eye for an Eye (1996),Big Daddy (1999)
50,62,2890,Mr. Holland's Opus (1995),Three Kings (1999)
51,63,924,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),2001: A Space Odyssey (1968)
52,64,924,Two if by Sea (1996),2001: A Space Odyssey (1968)
53,65,344,Bio-Dome (1996),Ace Ventura: Pet Detective (1994)
54,66,2094,Lawnmower Man 2: Beyond Cyberspace (1996),"Rocketeer, The (1991)"
55,68,1211,French Twist (Gazon maudit) (1995),"Wings of Desire (Himmel über Berlin, Der) (1987)"
56,69,104,Friday (1995),Happy Gilmore (1996)
57,70,3081,From Dusk Till Dawn (1996),Sleepy Hollow (1999)
58,71,1245,Fair Game (1995),Miller's Crossing (1990)
59,72,4975,Kicking and Screaming (1995),Vanilla Sky (2001)
60,73,44665,"Misérables, Les (1995)",Lucky Number Slevin (2006)
61,74,1,Bed of Roses (1996),Toy Story (1995)
62,76,1284,Screamers (1995),"Big Sleep, The (1946)"
63,78,1701,"Crossing Guard, The (1995)",Deconstructing Harry (1997)
64,79,168252,"Juror, The (1996)",Logan (2017)
65,81,3917,Things to Do in Denver When You're Dead (1995),Hellraiser (1987)
66,82,71,Antonia's Line (Antonia) (1995),Fair Game (1995)
67,85,1339,Angels and Insects (1995),Dracula (Bram Stoker's Dracula) (1992)
68,86,185,White Squall (1996),"Net, The (1995)"
69,88,47,Black Sheep (1996),Seven (a.k.a. Se7en) (1995)
70,89,1,Nick of Time (1995),Toy Story (1995)
71,92,5220,Mary Reilly (1996),Showtime (2002)
72,93,1,Vampire in Brooklyn (1995),Toy Story (1995)
73,94,1,Beautiful Girls (1996),Toy Story (1995)
74,95,349,Broken Arrow (1996),Clear and Present Danger (1994)
75,97,110127,"Hate (Haine, La) (1995)",Noah (2014)
76,100,51086,City Hall (1996),"Number 23, The (2007)"
77,101,493,Bottle Rocket (1996),Menace II Society (1993)
78,102,4478,Mr. Wrong (1996),Biloxi Blues (1988)
79,103,6666,Unforgettable (1996),"Discreet Charm of the Bourgeoisie, The (Charme discret de la bourgeoisie, Le) (1972)"
80,104,592,Happy Gilmore (1996),Batman (1989)
81,105,2501,"Bridges of Madison County, The (1995)",October Sky (1999)
82,107,1,Muppet Treasure Island (1996),Toy Story (1995)
83,110,30793,Braveheart (1995),Charlie and the Chocolate Factory (2005)
84,111,750,Taxi Driver (1976),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
85,112,440,Rumble in the Bronx (Hont faan kui) (1995),Dave (1993)
86,117,6301,"Young Poisoner's Handbook, The (1995)",Straw Dogs (1971)
87,118,1246,If Lucy Fell (1996),Dead Poets Society (1989)
88,122,4387,Boomerang (1992),Kiss of the Dragon (2001)
89,123,3873,Chungking Express (Chung Hing sam lam) (1994),Cat Ballou (1965)
90,125,913,Flirting With Disaster (1996),"Maltese Falcon, The (1941)"
91,126,1997,"NeverEnding Story III, The (1994)","Exorcist, The (1973)"
92,132,1,Jade (1995),Toy Story (1995)
93,135,2949,Down Periscope (1996),Dr. No (1962)
94,140,2986,Up Close and Personal (1996),RoboCop 2 (1990)
95,141,69,"Birdcage, The (1996)",Friday (1995)
96,144,1,"Brothers McMullen, The (1995)",Toy Story (1995)
97,145,43679,Bad Boys (1995),Final Destination 3 (2006)
98,147,457,"Basketball Diaries, The (1995)","Fugitive, The (1993)"
99,149,103341,Amateur (1994),"World's End, The (2013)"
100,150,733,Apollo 13 (1995),"Rock, The (1996)"
101,151,161,Rob Roy (1995),Crimson Tide (1995)
102,153,2,Batman Forever (1995),Jumanji (1995)
103,154,1,Beauty of the Day (Belle de jour) (1967),Toy Story (1995)
104,155,849,Beyond Rangoon (1995),Escape from L.A. (1996)
105,156,1,Blue in the Face (1995),Toy Story (1995)
106,157,2454,Canadian Bacon (1995),"Fly, The (1958)"
107,158,95167,Casper (1995),Brave (2012)
108,159,6857,Clockers (1995),Ninja Scroll (Jûbei ninpûchô) (1995)
109,160,376,Congo (1995),"River Wild, The (1994)"
110,161,2567,Crimson Tide (1995),EDtv (1999)
111,162,1,Crumb (1994),Toy Story (1995)
112,163,53322,Desperado (1995),Ocean's Thirteen (2007)
113,164,762,Devil in a Blue Dress (1995),Striptease (1996)
114,165,491,Die Hard: With a Vengeance (1995),"Man Without a Face, The (1993)"
115,168,55290,First Knight (1995),Gone Baby Gone (2007)
116,169,1590,Free Willy 2: The Adventure Home (1995),Event Horizon (1997)
117,170,587,Hackers (1995),Ghost (1990)
118,171,2393,Jeffrey (1995),Star Trek: Insurrection (1998)
119,172,225,Johnny Mnemonic (1995),Disclosure (1994)
120,173,377,Judge Dredd (1995),Speed (1994)
121,174,7073,Jury Duty (1995),"Shot in the Dark, A (1964)"
122,175,5995,Kids (1995),"Pianist, The (2002)"
123,176,1,Living in Oblivion (1995),Toy Story (1995)
124,177,161,Lord of Illusions (1995),Crimson Tide (1995)
125,179,909,Mad Love (1995),"Apartment, The (1960)"
126,180,3461,Mallrats (1995),Lord of the Flies (1963)
127,181,1,Mighty Morphin Power Rangers: The Movie (1995),Toy Story (1995)
128,185,4886,"Net, The (1995)","Monsters, Inc. (2001)"
129,186,588,Nine Months (1995),Aladdin (1992)
130,188,905,"Prophecy, The (1995)",It Happened One Night (1934)
131,191,257,"Scarlet Letter, The (1995)",Just Cause (1995)
132,193,367,Showgirls (1995),"Mask, The (1994)"
133,194,1,Smoke (1995),Toy Story (1995)
134,195,1,Something to Talk About (1995),Toy Story (1995)
135,196,224,Species (1995),Don Juan DeMarco (1995)
136,198,866,Strange Days (1995),Bound (1996)
137,199,45501,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Break-Up, The (2006)"
138,203,1,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Toy Story (1995)
139,204,204,Under Siege 2: Dark Territory (1995),Under Siege 2: Dark Territory (1995)
140,205,858,Unstrung Heroes (1995),"Godfather, The (1972)"
141,207,105355,"Walk in the Clouds, A (1995)",Blue Is the Warmest Color (La vie d'Adèle) (2013)
142,208,1923,Waterworld (1995),There's Something About Mary (1998)
143,213,1931,Burnt by the Sun (Utomlyonnye solntsem) (1994),Mutiny on the Bounty (1935)
144,215,492,Before Sunrise (1995),Manhattan Murder Mystery (1993)
145,216,1,Billy Madison (1995),Toy Story (1995)
146,218,1350,Boys on the Side (1995),"Omen, The (1976)"
147,222,7084,Circle of Friends (1995),"Play It Again, Sam (1972)"
148,223,3468,Clerks (1994),"Hustler, The (1961)"
149,224,858,Don Juan DeMarco (1995),"Godfather, The (1972)"
150,225,736,Disclosure (1994),Twister (1996)
151,227,468,Drop Zone (1994),"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)"
152,229,1,Death and the Maiden (1994),Toy Story (1995)
153,230,300,Dolores Claiborne (1995),Quiz Show (1994)
154,231,1203,Dumb & Dumber (Dumb and Dumber) (1994),12 Angry Men (1957)
155,232,954,Eat Drink Man Woman (Yin shi nan nu) (1994),Mr. Smith Goes to Washington (1939)
156,233,538,Exotica (1994),Six Degrees of Separation (1993)
157,234,1,Exit to Eden (1994),Toy Story (1995)
158,235,260,Ed Wood (1994),Star Wars: Episode IV - A New Hope (1977)
159,236,5673,French Kiss (1995),Punch-Drunk Love (2002)
160,237,586,Forget Paris (1995),Home Alone (1990)
161,239,1,"Goofy Movie, A (1995)",Toy Story (1995)
162,242,166024,Farinelli: il castrato (1994),Whiplash (2013)
163,246,4310,Hoop Dreams (1994),Pearl Harbor (2001)
164,247,44022,Heavenly Creatures (1994),Ice Age 2: The Meltdown (2006)
165,248,550,Houseguest (1994),Threesome (1994)
166,249,2976,Immortal Beloved (1994),Bringing Out the Dead (1999)
167,252,21,I.Q. (1994),Get Shorty (1995)
168,253,2947,Interview with the Vampire: The Vampire Chronicles (1994),Goldfinger (1964)
169,256,81562,Junior (1994),127 Hours (2010)
170,257,89745,Just Cause (1995),"Avengers, The (2012)"
171,258,1198,"Kid in King Arthur's Court, A (1995)",Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
172,259,330,Kiss of Death (1995),Tales from the Hood (1995)
173,260,50,Star Wars: Episode IV - A New Hope (1977),"Usual Suspects, The (1995)"
174,261,2797,Little Women (1994),Big (1988)
175,262,3462,"Little Princess, A (1995)",Modern Times (1936)
176,265,1641,Like Water for Chocolate (Como agua para chocolate) (1992),"Full Monty, The (1997)"
177,266,593,Legends of the Fall (1994),"Silence of the Lambs, The (1991)"
178,267,5504,Major Payne (1995),Spy Kids 2: The Island of Lost Dreams (2002)
179,270,139644,Love Affair (1994),Sicario (2015)
180,271,1230,Losing Isaiah (1995),Annie Hall (1977)
181,272,1797,"Madness of King George, The (1994)",Everest (1998)
182,273,1,Mary Shelley's Frankenstein (Frankenstein) (1994),Toy Story (1995)
183,274,2716,Man of the House (1995),Ghostbusters (a.k.a. Ghost Busters) (1984)
184,275,1,Mixed Nuts (1994),Toy Story (1995)
185,276,1,Milk Money (1994),Toy Story (1995)
186,277,355,Miracle on 34th Street (1994),"Flintstones, The (1994)"
187,278,6663,Miami Rhapsody (1995),"Pink Panther Strikes Again, The (1976)"
188,280,125,Murder in the First (1995),Flirting With Disaster (1996)
189,281,6942,Nobody's Fool (1994),Love Actually (2003)
190,282,1392,Nell (1994),Citizen Ruth (1996)
191,288,551,Natural Born Killers (1994),"Nightmare Before Christmas, The (1993)"
192,289,370,Only You (1994),Naked Gun 33 1/3: The Final Insult (1994)
193,290,316,Once Were Warriors (1994),Stargate (1994)
194,292,215,Outbreak (1995),Before Sunrise (1995)
195,293,1240,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),"Terminator, The (1984)"
196,296,88129,Pulp Fiction (1994),Drive (2011)
197,299,1,Priest (1994),Toy Story (1995)
198,300,175,Quiz Show (1994),Kids (1995)
199,302,2617,"Queen Margot (Reine Margot, La) (1994)","Mummy, The (1999)"
200,303,5952,"Quick and the Dead, The (1995)","Lord of the Rings: The Two Towers, The (2002)"
201,305,3770,Ready to Wear (Pret-A-Porter) (1994),Dreamscape (1984)
202,306,1,Three Colors: Red (Trois couleurs: Rouge) (1994),Toy Story (1995)
203,307,235,Three Colors: Blue (Trois couleurs: Bleu) (1993),Ed Wood (1994)
204,308,1287,Three Colors: White (Trzy kolory: Bialy) (1994),Ben-Hur (1959)
205,312,102194,Stuart Saves His Family (1995),Mud (2012)
206,313,4995,"Swan Princess, The (1994)","Beautiful Mind, A (2001)"
207,314,1,"Secret of Roan Inish, The (1994)",Toy Story (1995)
208,315,1,"Specialist, The (1994)",Toy Story (1995)
209,316,8371,Stargate (1994),"Chronicles of Riddick, The (2004)"
210,317,93326,"Santa Clause, The (1994)",This Means War (2012)
211,318,47610,"Shawshank Redemption, The (1994)","Illusionist, The (2006)"
212,319,58,Shallow Grave (1994),"Postman, The (Postino, Il) (1994)"
213,322,1866,Swimming with Sharks (1995),"Big Hit, The (1998)"
214,326,3948,To Live (Huozhe) (1994),Meet the Parents (2000)
215,327,98154,Tank Girl (1995),Lincoln (2012)
216,328,1,Tales from the Crypt Presents: Demon Knight (1995),Toy Story (1995)
217,329,1994,Star Trek: Generations (1994),Poltergeist (1982)
218,330,339,Tales from the Hood (1995),While You Were Sleeping (1995)
219,332,1,Village of the Damned (1995),Toy Story (1995)
220,333,350,Tommy Boy (1995),"Client, The (1994)"
221,334,23,Vanya on 42nd Street (1994),Assassins (1995)
222,337,68237,What's Eating Gilbert Grape (1993),Moon (2009)
223,338,47,Virtuosity (1995),Seven (a.k.a. Se7en) (1995)
224,339,52973,While You Were Sleeping (1995),Knocked Up (2007)
225,340,3819,"War, The (1994)",Tampopo (1985)
226,342,266,Muriel's Wedding (1994),Legends of the Fall (1994)
227,344,474,Ace Ventura: Pet Detective (1994),In the Line of Fire (1993)
228,345,2012,"Adventures of Priscilla, Queen of the Desert, The (1994)",Back to the Future Part III (1990)
229,346,95088,Backbeat (1993),Safety Not Guaranteed (2012)
230,347,55444,Bitter Moon (1992),Control (2007)
231,348,2759,Bullets Over Broadway (1994),Dick (1999)
232,349,142488,Clear and Present Danger (1994),Spotlight (2015)
233,350,539,"Client, The (1994)",Sleepless in Seattle (1993)
234,351,2366,"Corrina, Corrina (1994)",King Kong (1933)
235,352,8633,Crooklyn (1994),"Last Starfighter, The (1984)"
236,353,596,"Crow, The (1994)",Pinocchio (1940)
237,354,1,Cobb (1994),Toy Story (1995)
238,355,594,"Flintstones, The (1994)",Snow White and the Seven Dwarfs (1937)
239,356,1193,Forrest Gump (1994),One Flew Over the Cuckoo's Nest (1975)
240,357,1259,Four Weddings and a Funeral (1994),Stand by Me (1986)
241,358,1,Higher Learning (1995),Toy Story (1995)
242,360,3524,I Love Trouble (1994),Arthur (1981)
243,361,319,It Could Happen to You (1994),Shallow Grave (1994)
244,362,1964,"Jungle Book, The (1994)",Klute (1971)
245,364,5135,"Lion King, The (1994)",Monsoon Wedding (2001)
246,365,71838,Little Buddha (1993),Law Abiding Citizen (2009)
247,366,1,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Toy Story (1995)
248,367,177763,"Mask, The (1994)",Murder on the Orient Express (2017)
249,368,204,Maverick (1994),Under Siege 2: Dark Territory (1995)
250,369,1193,Mrs. Parker and the Vicious Circle (1994),One Flew Over the Cuckoo's Nest (1975)
251,370,180,Naked Gun 33 1/3: The Final Insult (1994),Mallrats (1995)
252,371,1,"Paper, The (1994)",Toy Story (1995)
253,372,2405,Reality Bites (1994),"Jewel of the Nile, The (1985)"
254,373,2700,Red Rock West (1992),"South Park: Bigger, Longer and Uncut (1999)"
255,374,33154,Richie Rich (1994),Enron: The Smartest Guys in the Room (2005)
256,376,750,"River Wild, The (1994)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
257,377,173,Speed (1994),Judge Dredd (1995)
258,378,6299,Speechless (1994),"Winged Migration (Peuple migrateur, Le) (2001)"
259,379,4306,Timecop (1994),Shrek (2001)
260,380,4327,True Lies (1994),"Magnificent Seven, The (1960)"
261,381,1018,When a Man Loves a Woman (1994),That Darn Cat! (1965)
262,382,1197,Wolf (1994),"Princess Bride, The (1987)"
263,383,805,Wyatt Earp (1994),"Time to Kill, A (1996)"
264,393,3190,Street Fighter (1994),Supernova (2000)
265,405,428,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),"Bronx Tale, A (1993)"
266,407,3363,In the Mouth of Madness (1995),American Graffiti (1973)
267,410,2321,Addams Family Values (1993),Pleasantville (1998)
268,412,3754,"Age of Innocence, The (1993)","Adventures of Rocky and Bullwinkle, The (2000)"
269,413,1,Airheads (1994),Toy Story (1995)
270,415,2076,Another Stakeout (1993),Blue Velvet (1986)
271,416,1414,Bad Girls (1994),Mother (1996)
272,417,924,Barcelona (1994),2001: A Space Odyssey (1968)
273,419,5810,"Beverly Hillbillies, The (1993)",8 Mile (2002)
274,420,7,Beverly Hills Cop III (1994),Sabrina (1995)
275,421,1,Black Beauty (1994),Toy Story (1995)
276,422,3409,Blink (1994),Final Destination (2000)
277,423,1375,Blown Away (1994),Star Trek III: The Search for Spock (1984)
278,426,47,Body Snatchers (1993),Seven (a.k.a. Se7en) (1995)
279,427,90522,Boxing Helena (1993),Johnny English Reborn (2011)
280,428,2677,"Bronx Tale, A (1993)",Buena Vista Social Club (1999)
281,429,588,Cabin Boy (1994),Aladdin (1992)
282,431,5816,Carlito's Way (1993),Harry Potter and the Chamber of Secrets (2002)
283,432,1639,City Slickers II: The Legend of Curly's Gold (1994),Chasing Amy (1997)
284,433,3791,Clean Slate (1994),Footloose (1984)
285,434,112,Cliffhanger (1993),Rumble in the Bronx (Hont faan kui) (1995)
286,435,1225,Coneheads (1993),Amadeus (1984)
287,436,368,Color of Night (1994),Maverick (1994)
288,437,1,Cops and Robbersons (1994),Toy Story (1995)
289,440,454,Dave (1993),"Firm, The (1993)"
290,441,1293,Dazed and Confused (1993),Gandhi (1982)
291,442,590,Demolition Man (1993),Dances with Wolves (1990)
292,444,2442,Even Cowgirls Get the Blues (1993),Hilary and Jackie (1998)
293,445,3300,Fatal Instinct (1993),Pitch Black (2000)
294,446,21,Farewell My Concubine (Ba wang bie ji) (1993),Get Shorty (1995)
295,448,1,Fearless (1993),Toy Story (1995)
296,450,344,With Honors (1994),Ace Ventura: Pet Detective (1994)
297,452,5220,Widows' Peak (1994),Showtime (2002)
298,454,595,"Firm, The (1993)",Beauty and the Beast (1991)
299,455,527,Free Willy (1993),Schindler's List (1993)
300,457,904,"Fugitive, The (1993)",Rear Window (1954)
301,459,4954,"Getaway, The (1994)",Ocean's Eleven (a.k.a. Ocean's 11) (1960)
302,464,380,Hard Target (1993),True Lies (1994)
303,466,1221,Hot Shots! Part Deux (1993),"Godfather: Part II, The (1974)"
304,468,350,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)","Client, The (1994)"
305,469,205,"House of the Spirits, The (1993)",Unstrung Heroes (1995)
306,471,5991,"Hudsucker Proxy, The (1994)",Chicago (2002)
307,473,2335,In the Army Now (1994),"Waterboy, The (1998)"
308,474,154,In the Line of Fire (1993),Beauty of the Day (Belle de jour) (1967)
309,475,111,In the Name of the Father (1993),Taxi Driver (1976)
310,477,44665,What's Love Got to Do with It? (1993),Lucky Number Slevin (2006)
311,479,3358,Judgment Night (1993),Defending Your Life (1991)
312,480,1356,Jurassic Park (1993),Star Trek: First Contact (1996)
313,481,1,Kalifornia (1993),Toy Story (1995)
314,482,648,Killing Zoe (1994),Mission: Impossible (1996)
315,485,266,Last Action Hero (1993),Legends of the Fall (1994)
316,489,3107,Made in America (1993),Backdraft (1991)
317,490,21,Malice (1993),Get Shorty (1995)
318,491,3098,"Man Without a Face, The (1993)","Natural, The (1984)"
319,492,1104,Manhattan Murder Mystery (1993),"Streetcar Named Desire, A (1951)"
320,493,1994,Menace II Society (1993),Poltergeist (1982)
321,494,1,Executive Decision (1996),Toy Story (1995)
322,497,1339,Much Ado About Nothing (1993),Dracula (Bram Stoker's Dracula) (1992)
323,500,8644,Mrs. Doubtfire (1993),"I, Robot (2004)"
324,501,913,Naked (1993),"Maltese Falcon, The (1941)"
325,502,4265,"Next Karate Kid, The (1994)",Driven (2001)
326,504,87192,No Escape (1994),Attack the Block (2011)
327,505,1333,North (1994),"Birds, The (1963)"
328,506,543,Orlando (1992),So I Married an Axe Murderer (1993)
329,507,4321,"Perfect World, A (1993)",City Slickers (1991)
330,508,1407,Philadelphia (1993),Scream (1996)
331,509,1711,"Piano, The (1993)",Midnight in the Garden of Good and Evil (1997)
332,511,1,"Program, The (1993)",Toy Story (1995)
333,512,1,"Puppet Masters, The (1994)",Toy Story (1995)
334,514,2918,"Ref, The (1994)",Ferris Bueller's Day Off (1986)
335,515,2686,"Remains of the Day, The (1993)","Red Violin, The (Violon rouge, Le) (1998)"
336,516,2571,Renaissance Man (1994),"Matrix, The (1999)"
337,517,158783,Rising Sun (1993),The Handmaiden (2016)
338,518,2122,"Road to Wellville, The (1994)",Children of the Corn (1984)
339,519,1246,RoboCop 3 (1993),Dead Poets Society (1989)
340,520,1201,Robin Hood: Men in Tights (1993),"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)"
341,521,1,Romeo Is Bleeding (1993),Toy Story (1995)
342,522,3328,Romper Stomper (1992),Ghost Dog: The Way of the Samurai (1999)
343,524,51662,Rudy (1993),300 (2007)
344,527,2692,Schindler's List (1993),Run Lola Run (Lola rennt) (1998)
345,529,1,Searching for Bobby Fischer (1993),Toy Story (1995)
346,531,4406,"Secret Garden, The (1993)","Man Who Shot Liberty Valance, The (1962)"
347,532,3809,Serial Mom (1994),What About Bob? (1991)
348,533,78893,"Shadow, The (1994)","Last Airbender, The (2010)"
349,534,1,Shadowlands (1993),Toy Story (1995)
350,535,818,Short Cuts (1993),"Very Brady Sequel, A (1996)"
351,537,2716,Sirens (1994),Ghostbusters (a.k.a. Ghost Busters) (1984)
