,title,genres,movieId
0,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0
1,Jumanji (1995),Adventure|Children|Fantasy,1
2,Grumpier Old Men (1995),Comedy|Romance,2
3,Waiting to Exhale (1995),Comedy|Drama|Romance,3
4,Father of the Bride Part II (1995),Comedy,4
5,Heat (1995),Action|Crime|Thriller,5
6,Sabrina (1995),Comedy|Romance,6
7,Tom and Huck (1995),Adventure|Children,7
8,Sudden Death (1995),Action,8
9,GoldenEye (1995),Action|Adventure|Thriller,9
10,"American President, The (1995)",Comedy|Drama|Romance,10
11,Dracula: Dead and Loving It (1995),Comedy|Horror,11
12,Balto (1995),Adventure|Animation|Children,12
13,Nixon (1995),Drama,13
14,Cutthroat Island (1995),Action|Adventure|Romance,14
15,Casino (1995),Crime|Drama,15
16,Sense and Sensibility (1995),Drama|Romance,16
17,Four Rooms (1995),Comedy,17
18,Ace Ventura: When Nature Calls (1995),Comedy,18
19,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,19
20,Get Shorty (1995),Comedy|Crime|Thriller,20
21,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,21
22,Assassins (1995),Action|Crime|Thriller,22
23,Powder (1995),Drama|Sci-Fi,23
24,Leaving Las Vegas (1995),Drama|Romance,24
25,Othello (1995),Drama,25
26,Now and Then (1995),Children|Drama,26
27,Persuasion (1995),Drama|Romance,27
28,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,28
29,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,29
30,Dangerous Minds (1995),Drama,30
31,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,31
32,Babe (1995),Children|Drama,32
33,Carrington (1995),Drama|Romance,33
34,Dead Man Walking (1995),Crime|Drama,34
35,Clueless (1995),Comedy|Romance,35
36,Richard III (1995),Drama|War,36
37,Dead Presidents (1995),Action|Crime|Drama,37
38,Restoration (1995),Drama,38
39,Mortal Kombat (1995),Action|Adventure|Fantasy,39
40,To Die For (1995),Comedy|Drama|Thriller,40
41,How to Make an American Quilt (1995),Drama|Romance,41
42,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,42
43,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,43
44,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,44
45,Mighty Aphrodite (1995),Comedy|Drama|Romance,45
46,Home for the Holidays (1995),Drama,46
47,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,47
48,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,48
49,Eye for an Eye (1996),Drama|Thriller,49
50,Mr. Holland's Opus (1995),Drama,50
51,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,51
52,Two if by Sea (1996),Comedy|Romance,52
53,Bio-Dome (1996),Comedy,53
54,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,54
55,French Twist (Gazon maudit) (1995),Comedy|Romance,55
56,Friday (1995),Comedy,56
57,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,57
58,Fair Game (1995),Action,58
59,Kicking and Screaming (1995),Comedy|Drama,59
60,"Misérables, Les (1995)",Drama|War,60
61,Bed of Roses (1996),Drama|Romance,61
62,Screamers (1995),Action|Sci-Fi|Thriller,62
63,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,63
